customer_id,first_name,last_name,email,phone_number,signup_date,gender,age,is_guest,customer_status,signup_channel,loyalty_tier,email_verified,marketing_opt_in,mailing_address,billing_address,loyalty_enrollment_date,clv_bucket
CUST-1466,Sharon,Morris,sharon.morris@hotmail.com,001-461-414-8117x04679,2025-07-04,Unknown,68.0,False,Active,Website,Bronze,False,True,"60366 Patricia Squares Suite 697, Angelaton, WV 42953","60366 Patricia Squares Suite 697, Angelaton, WV 42953",2025-07-25,Low
CUST-1467,Ruth,Shepard,ruth.shepard@gmail.com,001-576-594-3942x829,2024-08-25,Female,23.0,False,Active,Social Media,Silver,True,False,"5729 Samantha Pine Suite 004, East Amberfurt, PW 64293","5729 Samantha Pine Suite 004, East Amberfurt, PW 64293",2025-01-15,Medium
CUST-1468,Steven,Scott,steven.scott@hotmail.com,678.607.2566,2025-02-13,Female,26.0,False,ACTIVE,email,Bronze,True,True,"3048 Vanessa Junction Suite 056, South Markfurt, DC 47790","3048 Vanessa Junction Suite 056, South Markfurt, DC 47790",2025-03-02,Low
CUST-1469,Brianna,Brown,brianna.brown@hotmail.com,001-334-431-6327x49094,2025-02-13,Unknown,32.0,False,Active,Website,Bronze,True,True,"253 Catherine Mountains Suite 789, South Elizabethberg, SD 25279","253 Catherine Mountains Suite 789, South Elizabethberg, SD 25279",,Low
CUST-1470,David,Morales,david.morales@hotmail.com,552.848.9736x7227,2025-02-28,Male,62.0,False,Inactive,Phone,Platinum,True,True,"USS Perez, FPO AE 72633","USS Perez, FPO AE 72633",2025-05-14,High
CUST-1471,Eric,Jones,eric.jones@hotmail.com,731-846-2271,2024-11-23,Unknown,52.0,False,Active,Website,Platinum,False,True,"56979 Adam Burg Apt. 837, East Kelly, MS 18415","56979 Adam Burg Apt. 837, East Kelly, MS 18415",2025-04-13,High
CUST-1472,Andrew,Evans,andrew.evans@yahoo.com,001-738-263-7166,2025-02-07,Male,69.0,False,Active,Phone,Bronze,True,False,"78725 Dennis Ranch, Petermouth, GU 53140","78725 Dennis Ranch, Petermouth, GU 53140",2025-06-12,Low
CUST-1473,Julia,Weber,julia.weber@hotmail.com,2183121914,2025-07-20,Female,28.0,False,Active,Website,Platinum,True,False,"7265 Velazquez Wall Suite 045, Nashstad, GA 81446","7265 Velazquez Wall Suite 045, Nashstad, GA 81446",2025-08-13,High
CUST-1474,Jacob,Wood,jacob.wood@gmail.com,+1-401-793-0424x75833,2025-04-30,Male,70.0,False,Active,Website,Bronze,True,False,"71206 Robertson Mountains Suite 831, Mullinsshire, WY 97191","71206 Robertson Mountains Suite 831, Mullinsshire, WY 97191",2025-06-23,Low
CUST-1475,Alex,Chapman,alex.chapman@yahoo.com,389.503.1898x90693,2025-04-22,Female,48.0,False,Active,Website,Bronze,True,True,"2422 April Highway, West Graceville, KY 43109","2422 April Highway, West Graceville, KY 43109",2025-05-30,Low
