order_id,total_items,order_date,customer_id,email,order_channel,is_expedited,customer_tier,order_total,payment_method,shipping_speed,shipping_cost,agent_id,shipping_address,billing_address,clv_bucket,is_reactivated
ORD-96850799,3,2024-08-22,GUEST-100760,jeremy07@example.net,Web,False,Gold,594.34,Credit Card,Standard,5.0,ONLINE,"5686 Sherry Tunnel, Jonesmouth, LA 56551","5686 Sherry Tunnel, Jonesmouth, LA 56551",Medium,False
ORD-51857639,1,2024-08-23,GUEST-101262,ericaanthony@example.net,Web,False,Bronze,34.3,credit card,Two-Day,45.0,ONLINE,"50405 Smith Roads, New Kimberly, FM 39754","50405 Smith Roads, New Kimberly, FM 39754",Low,False
ORD-30701221,3,2024-08-23,GUEST-101355,xallen@example.org,Web,False,Gold,565.74,Google Pay,Standard,5.0,ONLINE,"30475 Jason Summit Apt. 484, Gregoryside, MD 22090","30475 Jason Summit Apt. 484, Gregoryside, MD 22090",Medium,False
ORD-35048796,8,2024-08-23,GUEST-101053,brian09@example.net,Ebay,False,Platinum,1058.45,  Credit Card  ,Standard,5.0,ONLINE,"283 Contreras Overpass Suite 457, East Erin, MI 84910","283 Contreras Overpass Suite 457, East Erin, MI 84910",High,False
ORD-44720580,8,2024-08-23,GUEST-102497,williamgomez@example.net,Web,False,Platinum,1904.77,Credit Card,Standard,5.0,ONLINE,"17038 Caitlin Freeway Suite 633, New Gregory, MD 74667","17038 Caitlin Freeway Suite 633, New Gregory, MD 74667",HIGH,False
ORD-73447241,8,2024-08-23,GUEST-103122,robert85@example.net,Web,False,Platinum,1554.57,Credit Card,Two-Day,45.0,,"238 Michael Cove, North Laurashire, WV 92661","238 Michael Cove, North Laurashire, WV 92661",High,False
ORD-37999032,3,2024-08-23,GUEST-103845,joneschristopher@example.com,  Web ,False,Silver,487.79,Credit Card,Standard,5.0,ONLINE,"1374 Jackson Plaza Apt. 610, New Stacy, ID 44115","1374 Jackson Plaza Apt. 610, New Stacy, ID 44115",Medium,False
ORD-99038787,5,2024-08-23,GUEST-100703,nbarnes@example.net,Web,False,  Platinum  ,1938.23,PayPal,Two-Day,45.0,ONLINE,"6957 Kramer Passage Apt. 540, Kimberlyborough, WA 12051","6957 Kramer Passage Apt. 540, Kimberlyborough, WA 12051",High,False
ORD-53211300,9,2024-08-23,CUST-3981,amy.morales@gmail.com,Web,False,Platinum,3969.29,Credit Card,Standard,5.0,ONLINE,"557 Jacqueline Road Suite 119, Stephenmouth, AR 71909","557 Jacqueline Road Suite 119, Stephenmouth, AR 71909",High,False
ORD-06565410,8,2024-08-24,GUEST-100254,lramos@example.com,NewEgg,False, Platinum  ,1422.81,PayPal,Two-Day,45.0,ONLINE,"347 Natasha Drives Apt. 151, Port Cherylborough, GU 56971","347 Natasha Drives Apt. 151, Port Cherylborough, GU 56971",High,False
ORD-75187475,5,2024-08-24,GUEST-103675,qboyd@example.net,Web,False,Platinum,1568.92,Credit Card,Standard,5.0,ONLINE,"Unit 3564 Box 4852, DPO AA 91223","Unit 3564 Box 4852, DPO AA 91223",High,False
ORD-15521454,1,2024-08-24,GUEST-103232,wallacekrystal@example.net,Ebay,False, Silver  ,471.02,Credit Card,Standard,5.0,ONLINE,"15448 Crystal Branch, Davistown, AS 17844","15448 Crystal Branch, Davistown, AS 17844",Medium,False
ORD-81215761,7,2024-08-24,CUST-2238,sheri.burns@hotmail.com,Web,True,Platinum,1809.46,Credit Card,Standard,5.0,ONLINE,"49280 Marquez Squares, North Raymond, IN 71028","49280 Marquez Squares, North Raymond, IN 71028",High,False
ORD-18835904,4,2024-08-25,CUST-4210,jeremy.martinez@yahoo.com,Web,False,Platinum,548.82,Credit Card,Standard,5.0,ONLINE,"329 Williams Grove, South Amber, PR 06337","329 Williams Grove, South Amber, PR 06337",High,False
ORD-31387816,4,2024-08-25,GUEST-101206,herreraandre@example.net,Web,False,Gold,706.84,Credit Card,Standard,5.0,ONLINE,"PSC 6525, Box 5470, APO AA 55491","PSC 6525, Box 5470, APO AA 55491",Medium,False
ORD-52738697,5,2024-08-25,GUEST-102180,steven59@example.org,Web,True,Platinum,1151.23,Credit Card,Standard,5.0,ONLINE,"882 Laura Isle Apt. 566, North Lisafort, FL 34212","882 Laura Isle Apt. 566, North Lisafort, FL 34212",High,False
ORD-20402768,2,2024-08-25,GUEST-100863,wolson@example.net,Web,False,Silver,243.13,PayPal,Standard,5.0,ONLINE,"81362 Weiss Heights Apt. 534, New Pamelaview, DE 70965","81362 Weiss Heights Apt. 534, New Pamelaview, DE 70965",Low,False
ORD-01984043,7,2024-08-25,GUEST-100020,tstout@example.net,Web,False,Platinum,1072.43,ACH,Standard,5.0,ONLINE,"5347 Christina Ford, Lake Levibury, PA 45425","5347 Christina Ford, Lake Levibury, PA 45425",High,False
ORD-55416784,7,2024-08-25,GUEST-103053,troy92@example.org,Phone,False,Platinum,1533.34,Paypal,Standard,5.0,CSR-0019,"35603 Juan Circle, East Joshuamouth, DE 47796","35603 Juan Circle, East Joshuamouth, DE 47796",High,False
ORD-39845703,7,2024-08-25,GUEST-101289,vcarter@example.org,  social media ,False,Platinum,1644.55,PayPal,Two-Day,45.0,ONLINE,"Unit 1906 Box 5512, DPO AA 21822","Unit 1906 Box 5512, DPO AA 21822",High,False
ORD-70845628,2,2024-08-25,GUEST-100945,anthony20@example.net,Social Media,False,Silver,103.76,ACH,Standard,5.0,ONLINE,"06331 Allison Tunnel Suite 265, Mandyhaven, PR 80943","06331 Allison Tunnel Suite 265, Mandyhaven, PR 80943",Low,False
ORD-81187228,5,2024-08-25,CUST-2248,brittany.smith@yahoo.com,Phone,False,Platinum,1047.85,Apple Pay,Standard,5.0,CSR-0010,"75897 Fernandez Common, Barbarahaven, NJ 86502","75897 Fernandez Common, Barbarahaven, NJ 86502",High,False
ORD-47125393,3,2024-08-26,CUST-4657,anthony.hernandez@hotmail.com,ebay,False,Gold,610.48,credit card,Overnight,80.0,ONLINE,"0560 Waller Lodge, Michaelborough, UT 27843","0560 Waller Lodge, Michaelborough, UT 27843",Medium,False
ORD-90051278,2,2024-08-26,GUEST-101497,moliver@example.net, Web ,True,Gold,727.16,Credit Card, Standard  ,5.0,ONLINE,"474 Ronald Trail Apt. 411, Cisneroston, GU 89149","474 Ronald Trail Apt. 411, Cisneroston, GU 89149",Medium,False
ORD-14985307,1,2024-08-26,GUEST-103428,caseylandry@example.org,Social Media,False,silver,147.27,Paypal,Standard,5.0,ONLINE,"77276 Amy Run Suite 801, Kathrynfort, NE 93950","77276 Amy Run Suite 801, Kathrynfort, NE 93950",Low,False
ORD-52393507,4,2024-08-26,GUEST-103066,jeremypatel@example.net,Web,False,Gold,525.26,PayPal,Standard,5.0,ONLINE,"1253 Sims Plaza Suite 969, Shelleyland, MI 59530","1253 Sims Plaza Suite 969, Shelleyland, MI 59530",  Medium ,False
ORD-11838427,6,2024-08-26,CUST-4400,claudia.collins@gmail.com,Social Media,False,Platinum,3709.97,Credit Card,Standard,5.0,ONLINE,"8317 Brewer Ports Apt. 610, Wilsonshire, WA 45178","8317 Brewer Ports Apt. 610, Wilsonshire, WA 45178",High,False
ORD-04278246,7,2024-08-27,CUST-4316,pamela.morgan@hotmail.com, Web ,False,Platinum,4276.19,Credit Card,Standard,5.0,ONLINE,"362 George Place Suite 491, Julieview, PA 26706","362 George Place Suite 491, Julieview, PA 26706",High,False
ORD-18958778,5,2024-08-27,GUEST-100704,mitchell41@example.net,Web,True,Gold,584.92,credit card,Standard,5.0,ONLINE,"0970 Lyons Stream Apt. 680, West Haleyborough, NE 27762","0970 Lyons Stream Apt. 680, West Haleyborough, NE 27762",Medium,False
ORD-27708065,5,2024-08-27,GUEST-102976,joneskaylee@example.org,web,False,Platinum,1125.46,Credit Card,Standard,5.0,ONLINE,"019 Taylor Road Apt. 671, Port Gregorymouth, IL 90040","019 Taylor Road Apt. 671, Port Gregorymouth, IL 90040",High,False
ORD-33991959,6,2024-08-27,GUEST-102857,makayla31@example.net,Phone,False,Platinum,1438.23,Paypal,Two-Day,45.0,CSR-0014,"7816 Ortiz Park Apt. 184, Charlesstad, RI 94395","7816 Ortiz Park Apt. 184, Charlesstad, RI 94395",High,False
ORD-64404459,10,2024-08-27,CUST-4150,harry.reyes@hotmail.com,Ebay,False,Platinum,3871.16,Credit Card,Two-Day,45.0,ONLINE,"1951 Stone Port Apt. 566, New Madelineland, WA 21231","1951 Stone Port Apt. 566, New Madelineland, WA 21231",  High  ,False
ORD-50265132,7,2024-08-27,GUEST-101764,lisatyler@example.com,Ebay,False,Platinum,1030.15,Credit Card,STANDARD,5.0,ONLINE,"142 Denise Circle Suite 953, Annetown, MI 80249","142 Denise Circle Suite 953, Annetown, MI 80249",High,False
ORD-80878540,1,2024-08-27,GUEST-102424,enguyen@example.org,Phone,False,Silver,116.8,Credit Card,Standard,5.0,CSR-0009,"76470 Chambers Union Apt. 990, Deniseport, ND 22975","76470 Chambers Union Apt. 990, Deniseport, ND 22975", Low  ,False
ORD-89737420,8,2024-08-27,CUST-5727,carla.robinson@hotmail.com,Phone,False,Platinum,2687.06,ACH,Standard,5.0,CSR-0001,"540 Wood Dam Suite 376, Olivialand, CO 91607","540 Wood Dam Suite 376, Olivialand, CO 91607",High,False
ORD-81574441,7,2024-08-27,GUEST-101765,jmoreno@example.net,Web,False,Platinum,1763.02,Credit Card,Two-Day,45.0,ONLINE,"97143 Sheila Islands, North Stephanieland, AR 84614","97143 Sheila Islands, North Stephanieland, AR 84614",High,False
ORD-31203148,1,2024-08-27,GUEST-101496,daltondavid@example.net,EBAY,False,Gold,588.78, PayPal  ,Standard,5.0,ONLINE,"288 Smith Heights Apt. 393, Brownfort, MN 71881","288 Smith Heights Apt. 393, Brownfort, MN 71881",Medium,False
ORD-54326873,1,2024-08-27,CUST-3202,jasmin.ramirez@hotmail.com,Web,False,  Gold  ,638.43,Credit Card,Overnight,80.0,ONLINE,"9169 Brenda Inlet, North Matthew, AR 09534","9169 Brenda Inlet, North Matthew, AR 09534",Medium,False
ORD-68315503,2,2024-08-28,GUEST-101895,odiaz@example.org,Web,False,Gold,661.56,Apple Pay,Overnight,80.0,ONLINE,"88256 Williams Green, Thomasburgh, LA 62685","88256 Williams Green, Thomasburgh, LA 62685",medium,False
ORD-99847921,2,2024-08-28,CUST-3715,gene.morris@yahoo.com,Phone,True,Bronze,73.21,PayPal,Overnight,80.0,CSR-0012,"83659 Amanda Cliff Apt. 358, West Thomas, NJ 13409","83659 Amanda Cliff Apt. 358, West Thomas, NJ 13409",Low,False
ORD-50969367,3,2024-08-28,CUST-3987,tracey.mcclain@yahoo.com,Ebay,False,Platinum,421.76,  PayPal ,Two-Day,45.0,ONLINE,"233 Ashley Rapids Apt. 988, Lopezview, NC 90032","233 Ashley Rapids Apt. 988, Lopezview, NC 90032",High,False
ORD-09619877,3,2024-08-28,CUST-4386,jose.hernandez@yahoo.com,Social Media,False,Gold,554.16,Credit Card,  Standard  ,5.0,ONLINE,"PSC 7538, Box 2764, APO AA 24944","PSC 7538, Box 2764, APO AA 24944",Medium,False
ORD-70014132,4,2024-08-28,CUST-5004,angela.lopez@yahoo.com,Web,False,Platinum,724.58,Credit Card,Two-Day,45.0,ONLINE,"052 Valerie Parkway Suite 878, West Keith, MD 88333","052 Valerie Parkway Suite 878, West Keith, MD 88333",High,False
ORD-26538759,8,2024-08-28,GUEST-101173,mfreeman@example.com,Phone,False,Platinum,2626.56,Credit Card,Standard,5.0,CSR-0016,"1718 Julie Square, Edwardfurt, IL 82169","1718 Julie Square, Edwardfurt, IL 82169",High,False
ORD-38221787,3,2024-08-28,CUST-6369,james.reynolds@yahoo.com, Ebay ,False,Platinum,1557.31,PayPal,Two-Day,45.0,ONLINE,"11781 Medina Oval, Kaiserfort, WY 30602","11781 Medina Oval, Kaiserfort, WY 30602",High,False
ORD-72054587,7,2024-08-28,GUEST-102780,elizabeth51@example.org,Phone,False,Platinum,1509.31,Credit Card,Overnight,80.0,CSR-0008,"668 David Common Apt. 313, Lake Jacob, AZ 31633","668 David Common Apt. 313, Lake Jacob, AZ 31633",High,False
ORD-69257299,1,2024-08-28,CUST-2873,ryan.lee@hotmail.com,Ebay,True,Silver,193.54,ACH,Standard,5.0,ONLINE,"06362 Callahan Hill Apt. 006, East Robert, OH 67154","06362 Callahan Hill Apt. 006, East Robert, OH 67154",Low,False
ORD-98319516,4,2024-08-28,GUEST-102384,cjohnson@example.net,Social Media,False,Silver,425.53,Credit Card,Two-Day,45.0,ONLINE,"16806 Ashlee Islands Suite 903, New Robyn, OK 59904","16806 Ashlee Islands Suite 903, New Robyn, OK 59904",Medium,False
ORD-67572654,2,2024-08-28,GUEST-100641,tsexton@example.com,Web,False,Silver,321.11,Credit Card,Standard,5.0,ONLINE,"912 Steve Loaf Apt. 301, Clarkborough, NY 41540","912 Steve Loaf Apt. 301, Clarkborough, NY 41540",Medium,False
ORD-73519303,2,2024-08-29,CUST-4176,cassidy.heath@yahoo.com,Web,True,Platinum,937.17,PAYPAL,Standard,5.0,ONLINE,"1843 Natasha Shores Apt. 978, Lake Katie, MI 71326","1843 Natasha Shores Apt. 978, Lake Katie, MI 71326",High,False
ORD-70886428,3,2024-08-29,CUST-7188,jack.patel@gmail.com,NewEgg,False,PLATINUM,667.04,  Credit Card  ,Standard,5.0,ONLINE,"243 Brown Expressway Suite 861, Lake Anthony, MS 74010","243 Brown Expressway Suite 861, Lake Anthony, MS 74010",High,False
ORD-02520791,3,2024-08-29,CUST-6514,david.rivera@hotmail.com,Web,False,Platinum,1397.3,Credit Card,Standard,5.0,ONLINE,"25871 Perez Underpass Apt. 823, Staceyshire, ME 01820","25871 Perez Underpass Apt. 823, Staceyshire, ME 01820",High,False
ORD-84657682,4,2024-08-29,GUEST-102057,brownjoseph@example.com, Web  ,False,Platinum,1349.82,Credit Card,Standard,5.0,ONLINE,"644 Martin Lodge, Alexanderport, OK 82676","644 Martin Lodge, Alexanderport, OK 82676",High,False
ORD-65127589,8,2024-08-29,CUST-7446,emily.jackson@gmail.com,Phone,False,Platinum,3380.33,Credit Card,Overnight,80.0,CSR-0007,"PSC 2455, Box 8445, APO AP 89876","PSC 2455, Box 8445, APO AP 89876",High,False
ORD-36587418,2,2024-08-29,CUST-3725,jacqueline.martin@yahoo.com,Social Media,False,Gold,310.4,PayPal,Overnight,80.0,ONLINE,"Unit 8830 Box 2469, DPO AE 22962","Unit 8830 Box 2469, DPO AE 22962",Medium,False
ORD-35049958,4,2024-08-29,GUEST-102362,michelebruce@example.com,Phone,False,Silver,467.71,Credit Card,standard,5.0,CSR-0020,"34563 Anderson Terrace, Port Amandatown, VT 33210","34563 Anderson Terrace, Port Amandatown, VT 33210",Medium,False
ORD-05082039,4,2024-08-29,GUEST-103499,qperry@example.com,Web,False,platinum,1496.29,Credit Card,Standard,5.0,ONLINE,"027 David Fort Suite 707, Lake Lisa, SC 06188","027 David Fort Suite 707, Lake Lisa, SC 06188",High,False
