return_id,order_id,customer_id,email,return_date,reason,return_type,refunded_amount,return_channel,agent_id,refund_method
RTN-63489965,ORD-51857639,GUEST-101262,ericaanthony@example.net,2024-09-19,  Found a better price  ,Refund,34.3,Web,ONLINE,Credit Card
RTN-23377165,ORD-44720580,GUEST-102497,williamgomez@example.net,2024-09-19, No longer needed ,Refund,998.35, web  ,ONLINE,Credit Card
RTN-79351132,ORD-75187475,GUEST-103675,qboyd@example.net,2024-08-29,Found a better price,Refund,693.64,Web,ONLINE,Credit Card
RTN-68497302,ORD-20402768,GUEST-100863,wolson@example.net,2024-09-19,Product did not match description,Refund,243.13,Web,ONLINE,PayPal
RTN-40148585,ORD-70845628,GUEST-100945,anthony20@example.net,2024-09-07,Changed mind,Refund,47.77,Social Media,ONLINE,ACH
RTN-41100644,ORD-90051278,GUEST-101497,moliver@example.net,2024-09-11,Changed mind,Refund,247.46,Web,ONLINE,Credit Card
RTN-24612875,ORD-14985307,GUEST-103428,caseylandry@example.org,2025-08-05,Arrived damaged,  Refund ,147.27,Social Media,ONLINE,PayPal
RTN-14155369,ORD-14985307,GUEST-103428,caseylandry@example.org,2025-08-07,Arrived damaged,Refund,0.0,Social Media,,PayPal
RTN-96673070,ORD-04278246,CUST-4316,pamela.morgan@hotmail.com,2024-11-19,defective,Refund,3880.33,Web,ONLINE,Credit Card
RTN-64057384,ORD-64404459,CUST-4150,harry.reyes@hotmail.com,2025-07-02,Item arrived late,Refund,914.65,  Ebay ,ONLINE,Credit Card
RTN-80202934,ORD-31203148,GUEST-101496,daltondavid@example.net,2024-09-13,Defective,Refund,588.78,Ebay,ONLINE,PayPal
RTN-04026750,ORD-54326873,CUST-3202,jasmin.ramirez@hotmail.com,2024-08-29,Changed mind,Refund,425.62,Web,ONLINE,Credit Card
RTN-81374958,ORD-99847921,CUST-3715,gene.morris@yahoo.com,2024-09-27,PRODUCT DID NOT MATCH DESCRIPTION,Refund,73.21,Phone,CSR-0012,PayPal
RTN-26637315,ORD-70014132,CUST-5004,angela.lopez@yahoo.com,2025-04-24,No longer needed,Refund,534.18,Web,ONLINE,Credit Card
RTN-58599997,ORD-26538759,GUEST-101173,mfreeman@example.com,2025-03-01,Found A Better Price, Refund ,1439.8,Phone,CSR-0016,Credit Card
RTN-33555699,ORD-38221787,CUST-6369,james.reynolds@yahoo.com,2024-09-24,Changed mind,Refund,885.05,Ebay,ONLINE,PayPal
RTN-94401827,ORD-73519303,CUST-4176,cassidy.heath@yahoo.com,2024-09-04,Product did not match description,Refund,658.98,Web,ONLINE,PayPal
RTN-62023672,ORD-84657682,GUEST-102057,brownjoseph@example.com,2024-09-04,Found a better price,REFUND,1349.82,Web,ONLINE,Credit Card
RTN-88590665,ORD-35049958,GUEST-102362,michelebruce@example.com,2024-09-25,Arrived damaged,Refund,467.71,Phone,CSR-0020,Credit Card
RTN-97228650,ORD-05082039,GUEST-103499,qperry@example.com,2024-09-01,Changed mind,Refund,1027.33,Web,ONLINE,Credit Card
RTN-83158361,ORD-05082039,GUEST-103499,qperry@example.com,2024-09-22,Item arrived late,Refund,0.0,Web,ONLINE,Credit Card
RTN-48499387,ORD-35722941,GUEST-101124,christopher13@example.com,2024-09-06,No longer needed,Refund,92.44,web,ONLINE,Credit Card
RTN-99553209,ORD-36566819,CUST-5782,joy.walker@hotmail.com,2024-09-14,No longer needed,Refund,231.61,Phone,CSR-0006,Credit Card
RTN-89132674,ORD-36566819,CUST-5782,joy.walker@hotmail.com,2024-11-30,Arrived damaged, Refund ,0.0,PHONE,CSR-0006,Credit Card
RTN-87817739,ORD-81796122,CUST-4150,harry.reyes@hotmail.com,2024-09-25,Found a better price,  Refund  ,2158.66,Web,ONLINE,Credit Card
RTN-61189300,ORD-16242205,GUEST-100882,taylor70@example.net,2024-09-18,No longer needed,Refund,233.08,Social Media,ONLINE,PayPal
RTN-67537749,ORD-15630439,GUEST-100336,glennrebecca@example.org,2024-09-06,Damaged in transit,Refund,727.49,Web,ONLINE,Credit Card
RTN-57891742,ORD-16726860,CUST-2501,catherine.morris@gmail.com,2024-09-20,Damaged in transit,Refund,26.75,Web,ONLINE,Credit Card
RTN-79847241,ORD-84451783,GUEST-100833,jramirez@example.org,2024-09-02,Defective,Refund,457.56,Ebay,ONLINE,Credit Card
